node_id,author_name
author_Meng Yang,Meng Yang
author_Brian Maina,Brian Maina
author_Sei-Ryang Oh,Sei-Ryang Oh
author_Tatiana Minkina,Tatiana Minkina
author_Zhengcai Qiu,Zhengcai Qiu
author_Yayoi Ando,Yayoi Ando
author_Alexander E Downie,Alexander E Downie
author_Jazmin Florio,Jazmin Florio
author_Çiğdem Seher Kasapkara,Çiğdem Seher Kasapkara
author_Bindia Junejo,Bindia Junejo
author_Mahmoud A Elrebehy,Mahmoud A Elrebehy
author_Yongqi Zhang,Yongqi Zhang
author_Lijuan Zhou,Lijuan Zhou
author_Masahide Seki,Masahide Seki
author_Shabnam Bobdiwala,Shabnam Bobdiwala
author_Xuezhong Shi,Xuezhong Shi
author_Johan Michiels,Johan Michiels
author_Anthony F Firek,Anthony F Firek
author_Shiva Amini,Shiva Amini
author_Mahmoud Hussein Bahr,Mahmoud Hussein Bahr
author_Esmail Karami,Esmail Karami
author_Galal Omami,Galal Omami
author_Michael Musila Ndile,Michael Musila Ndile
author_Jiyoung Kim,Jiyoung Kim
author_Samat Sagatovich Saparbayev,Samat Sagatovich Saparbayev
author_Kaixi Yao,Kaixi Yao
author_Djamel Djennaoui,Djamel Djennaoui
author_Joseph Schacherer,Joseph Schacherer
author_Alexander Egeberg,Alexander Egeberg
author_Hany F Sallam,Hany F Sallam
author_Guanzong Li,Guanzong Li
author_Azaran Azarakhsh,Azaran Azarakhsh
author_Xiaoqiang Gong,Xiaoqiang Gong
author_Arsia Taghva,Arsia Taghva
author_Jia-Chen Li,Jia-Chen Li
author_Giuseppina Comitini,Giuseppina Comitini
author_Francis T F Tsai,Francis T F Tsai
author_Shiwen Jiao,Shiwen Jiao
author_Thomas J Borody,Thomas J Borody
author_Özlem Güzel-Tunçcan,Özlem Güzel-Tunçcan
author_Isabel Anez-Bruzual,Isabel Anez-Bruzual
author_Joanne Euden,Joanne Euden
author_Heli I Alanen,Heli I Alanen
author_Hanlie Cheng,Hanlie Cheng
author_Kenji Fujita,Kenji Fujita
author_Fleur Cordier,Fleur Cordier
author_Absalom E Ezugwu,Absalom E Ezugwu
author_Claire-Anne Siegrist,Claire-Anne Siegrist
author_Jeremy D Amon,Jeremy D Amon
author_Badrud Deen,Badrud Deen
author_Moustafa A Rizk,Moustafa A Rizk
author_Afaq Hassan,Afaq Hassan
author_Qin Min,Qin Min
author_Maurizio Genuardi,Maurizio Genuardi
author_Katarzyna Skrzypińska,Katarzyna Skrzypińska
author_Yousuke Takemura,Yousuke Takemura
author_Evgeny Pislyagin,Evgeny Pislyagin
author_Yurii Husiev,Yurii Husiev
author_Bryan Haddock,Bryan Haddock
author_William Kf Kong,William Kf Kong
author_Adrian Dalbert,Adrian Dalbert
author_Suman L Jain,Suman L Jain
author_Xudong Hu,Xudong Hu
author_Thomas Pranzatelli,Thomas Pranzatelli
author_Kamal Dua,Kamal Dua
author_Wenyi Wei,Wenyi Wei
author_Jinhui Sun,Jinhui Sun
author_Mardiah Suci Hardianti,Mardiah Suci Hardianti
author_Xiaolong Zhang,Xiaolong Zhang
author_H J H Hoffmann,H J H Hoffmann
author_Jun-Long Liao,Jun-Long Liao
author_Jinhua Luo,Jinhua Luo
author_Bryan T Denny,Bryan T Denny
author_Negin Sheybani,Negin Sheybani
author_Hui Xiao,Hui Xiao
author_Yanfei Yin,Yanfei Yin
author_Yaoji Zhu,Yaoji Zhu
author_Ayumi Shintani,Ayumi Shintani
author_Mohammad Alsaffar,Mohammad Alsaffar
author_Bryan E Shepherd,Bryan E Shepherd
author_Mercedes Tamame,Mercedes Tamame
author_Britta Johanna Eickholt,Britta Johanna Eickholt
author_Peter-Christian Klöhn,Peter-Christian Klöhn
author_Chunsong Yang,Chunsong Yang
author_Yuguo Tang,Yuguo Tang
author_Abdullah Saad Altukhays,Abdullah Saad Altukhays
author_Xinran Wang,Xinran Wang
author_Abdelghani Hsini,Abdelghani Hsini
author_Abdulaziz A Al-Askar,Abdulaziz A Al-Askar
author_Shan Li,Shan Li
author_Jianbang Chiang,Jianbang Chiang
author_Qingyuan Li,Qingyuan Li
author_Yisheng Xu,Yisheng Xu
author_Ranjit Singh Parhar,Ranjit Singh Parhar
author_Mohamed A El-Sheikh,Mohamed A El-Sheikh
author_Suryanarayanarao Ramakumar,Suryanarayanarao Ramakumar
author_Qingming Wang,Qingming Wang
author_Mathilde Guerville,Mathilde Guerville
author_Faisal M H,Faisal M H
author_Jianfeng Pei,Jianfeng Pei
author_Israt Jahan Konika,Israt Jahan Konika
author_Jiaotao Li,Jiaotao Li
author_Chengcai Wen,Chengcai Wen
author_R Rai,R Rai
author_Sai Gautham Kanagala,Sai Gautham Kanagala
author_David Kaplan,David Kaplan
author_Ayushi Gautam,Ayushi Gautam
author_Kerwyn Casey Huang,Kerwyn Casey Huang
author_Yinke Du,Yinke Du
author_Aikepaer Wubuli,Aikepaer Wubuli
author_Shirodkar Jaswandi Dilip,Shirodkar Jaswandi Dilip
author_Cinnie Soekojo,Cinnie Soekojo
author_Peilin Gu,Peilin Gu
author_Rong Jin,Rong Jin
author_Jacques Izopet,Jacques Izopet
author_Praveen K Tiwari,Praveen K Tiwari
author_Zengbiao Ma,Zengbiao Ma
author_I Gherlan,I Gherlan
