Model,Accuracy,Precision,Recall,F1,ROC_AUC
XGBoost,0.9355271994627267,0.9682539682539683,0.9006711409395973,0.933240611961057,0.9804845926246663
CatBoost,0.9308260577568838,0.9665697674418605,0.8926174496644296,0.928122819260293,0.980244641697337
LightGBM,0.9335124244459369,0.9694767441860465,0.8953020134228188,0.9309141660851361,0.9798802049505664
Random Forest,0.8912021490933513,0.9031811894882434,0.876510067114094,0.8896457765667575,0.9585642635491088
Logistic Regression,0.8562793821356616,0.852589641434263,0.8617449664429531,0.8571428571428571,0.9328353900555677
Extra Trees,0.8502350570852921,0.8676056338028169,0.8268456375838926,0.8467353951890034,0.9268763080031752
